date,steps,distance,runDistance,calories
2022-10-20,18412,13272,364,444
2022-10-21,17505,12626,556,416
2022-10-22,57,39,8,2
2022-11-09,8991,6566,460,217
2022-11-10,12220,8708,511,284
2022-11-11,12689,9076,387,296
2022-11-12,11418,8285,402,262
2022-11-13,11597,8196,380,269
2022-11-14,11212,8043,674,263
2022-11-15,7771,5572,361,190
2022-11-16,10497,7535,309,247
2022-11-17,16722,12051,532,384
2022-11-18,18300,12976,490,421
2022-11-19,10435,7512,468,244
2022-11-20,10667,7596,298,249
2022-11-21,15349,11116,557,358
2022-11-22,10226,7314,359,240
2022-11-23,13905,10059,363,332
2022-11-24,13004,9317,428,297
2022-11-25,13277,9601,573,316
2022-11-26,16358,11610,681,369
2022-11-27,9425,6771,356,214
2022-11-28,11602,8385,410,282
2022-11-29,13660,9784,781,330
2022-11-30,11540,8334,499,274
2022-12-01,14927,10713,537,350
2022-12-02,12563,9014,435,294
2022-12-03,12937,9192,395,290
2022-12-04,13938,9944,508,323
2022-12-05,12492,8826,466,279
2022-12-06,15346,10968,478,363
2022-12-07,16877,11972,494,397
2022-12-08,9942,7073,489,232
2022-12-09,17876,12829,684,437
2022-12-10,10514,7361,271,243
2022-12-11,12518,8856,468,291
2022-12-12,12975,9261,690,310
2022-12-13,12780,9065,374,297
2022-12-14,11666,8284,373,277
2022-12-15,15536,11076,353,375
2022-12-16,16184,11623,505,398
2022-12-17,12873,9139,528,297
2022-12-18,14263,10199,515,339
2022-12-19,8650,6153,463,200
2022-12-20,15608,11202,596,370
2022-12-21,11130,7875,422,262
2022-12-22,17149,12320,518,416
2022-12-23,12956,9328,281,311
2022-12-24,15380,10980,520,365
2022-12-25,6451,4521,207,141
2022-12-26,17269,12225,567,403
2022-12-27,10922,7716,476,253
2022-12-28,14339,10225,512,339
2022-12-29,11270,8121,475,279
2022-12-30,17421,12584,376,417
2022-12-31,10371,7275,367,244
2023-01-01,16046,11355,602,375
2023-01-02,20017,14249,553,496
2023-01-03,13720,9781,363,324
2023-01-04,9104,6452,441,218
2023-01-05,17350,12236,497,429
2023-01-06,15157,10820,488,364
2023-01-07,9547,6724,399,231
2023-01-08,14248,10158,663,353
2023-01-09,10843,7709,444,264
2023-01-10,10667,7579,420,257
2023-01-11,8838,6181,275,204
2023-01-12,11221,7977,430,271
